Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2015-11-02,15,3:00:00 PM,Monday,Bishop Allen School,Late Leaving Garage,5,12,N//b,8065
2015-11-02,24,3:00:00 PM,Monday,MCNICOLL / VICTORIA PARK,General Delay,15,0,BW,
2015-11-02,12,3:00:00 PM,Monday,Neil Mcneil high school,Late Leaving Garage,7,14,SB,7782
2015-11-02,160,3:00:00 PM,Monday,Bathurst Route,General Delay,25,45,B,
2015-11-02,57,3:00:00 PM,Monday,Midland Route,General Delay,12,1,B/w,
2015-11-02,172,3:02:00 PM,Monday,Cherry & Villars,Investigation,20,40,N/B,7742
2015-11-02,96,3:04:00 PM,Monday,Woodbine Downs,Mechanical,13,24,E,1251
2015-11-02,54,3:05:00 PM,Monday,Lawrance and Warden,Mechanical,13,26,WM,7439
2015-11-02,113,3:15:00 PM,Monday,MAIN STATION,Mechanical,23,53,W,7855
2015-11-02,105,3:17:00 PM,Monday,Dufferin / Steeles,Mechanical,32,64,S/B,8165
2015-11-02,116,3:17:00 PM,Monday,Kennedy Stn,Mechanical,10,16,E,7404
2015-11-02,45,3:21:00 PM,Monday,Steeles Loop,Mechanical,13,22,sb,7329
2015-11-02,46,3:21:00 PM,Monday,Westway/Kipling,Investigation,6,12,n,8404
2015-11-02,35,3:21:00 PM,Monday,Steeles,Late Leaving Garage,10,20,SB,1243
2015-11-02,15,3:22:00 PM,Monday,Etobicoke School of Arts,Late Leaving Garage,11,22,E/b,7345
2015-11-02,86,3:23:00 PM,Monday,Medawvale & Ellesmere,Diversion,60,70,S,7589
2015-11-02,111,3:26:00 PM,Monday,Martin Grove and Egglington,Late Leaving Garage,10,22,Nb,7315
2015-11-02,51,3:30:00 PM,Monday,Eglinton stn,Late Leaving Garage,15,30,n/b,8326
2015-11-02,21,3:41:00 PM,Monday,kennedy Stn,Mechanical,20,40,B/B,7801
2015-11-02,75,3:43:00 PM,Monday,Jarvis at Queens Quay,Mechanical,7,14,S,8185
2015-11-02,54,3:52:00 PM,Monday,Lawrance RT station,Utilized Off Route,10,20,EB,7498
2015-11-02,87,3:54:00 PM,Monday,Main Station,Utilized Off Route,5,10,,7876
2015-11-02,52,3:54:00 PM,Monday,Lawrence west stn,Late Leaving Garage,11,22,w/b,1409
2015-11-02,10,3:57:00 PM,Monday,Don Mills Stn,Late Leaving Garage,10,20,E/B,1686
2015-11-02,106,3:58:00 PM,Monday,York Blvd/Ian McDonald,Mechanical,11,22,E/B,8332
2015-11-02,191,3:58:00 PM,Monday,Royal crest,Investigation,4,8,s,8404
2015-11-02,25,4:00:00 PM,Monday,Pape Station,Utilized Off Route,4,8,NB,7456
2015-11-02,11,4:00:00 PM,Monday,Steeles to Davisville,General Delay,12,24,b/w,
2015-11-02,11,4:00:00 PM,Monday,Davisville stn,Late Leaving Garage,12,24,e/b,1554
2015-11-02,145,4:00:00 PM,Monday,Entire Route,General Delay,30,60,BW,
2015-11-02,36,4:00:00 PM,Monday,Finch ave,General Delay,20,40,b/w,9121
2015-11-02,47,4:05:00 PM,Monday,On Lansdowne from Wallace ave to Bloor,Diversion,50,76,s,1209
2015-11-02,84,4:09:00 PM,Monday,Downsview station,Mechanical,11,22,e,1285
2015-11-02,12,4:10:00 PM,Monday,Victoria Park Stn,Mechanical,14,28,E/B,7754
